id,attribute_ids
1000fe2e667721fe,51
10041eb49b297c08,51
100501c227f8beea,13
1008abd71f3ed5bc,70
100a0dcde728cb36,51
100bbf5e832083d3,51
100d750286e85bf3,13
100ef61c00e1b5d3,25
1012a188a1fd6166,13
101534933c122e23,25
1015ddcd27215ca6,51
101690dc24813dc5,51
101695e8cefdc9c4,13
10175059b2aabb70,13
101861e383ec9973,13
101bedd1744689b2,51
101c55520bafa9f0,13
101c8394ff6db02d,13
101e477104fc2bf7,13
10219d8d2441fd3c,18
10233e987552d468,51
1023eaa2b948cff2,13
10246e16d17d9b85,13
1027bc2aeca8e1a8,13
1027e6c5c8e4c329,51
10301a06071f5dc8,13
10303f46db29089c,13
1033055830394850,42
103356cb98f8432d,51
1037796180daaf55,13
103c45a513aa6019,13
103ea6481627ead1,51
105248bfa74c8b01,13
1052acf3ce58ad8d,13
1055abe56bbddf45,13
10567626ccf6a875,13
1056caff76d71c22,51
1059ac4f9c6927b7,51
10602ff85a021d75,13
1061c7940c7bc80d,51
1067b078ced21d1d,51
106f78ec4b3a99e9,51
106f814e5e75e001,13
106f82c5df033be8,51
10750f487462cb3f,13
1079f1e9087407d5,51
10835cfcddef3db8,13
10865cc6255671a,13
10877325e4f7c4aa,13
10984ac8d2c0e354,70
10a1a0b30bac441b,13
10a43c7e5550dea3,51
10a4cf14858bf51a,13
10a9478373c442e2,13
10ab00a597930469,51
10aec0fd87c3cf32,13
10af91e06b85d1b,51
10b09cb5ac5341b3,51
10b0a91dbf512208,13
10b256ca2206a828,13
10b5ef8e9556d784,51
10bbb78beee0ba07,51
10c5899973a8203e,14
10c79c480c233921,29
10c7a143a6ad8f9d,51
10c7d98c4f76cec4,51
10ce427d8c9575c4,13
10d0648ca103ff8e,29
10d110e58843c7a9,51
10d34493b796efa4,51
10d432c377d2b132,13
10d58380bed88b15,13
10da13f8c4815d32,51
10de9b91be65e19a,29
10df3af1b5309ac9,51
10e1d261b7e5e88a,45
10e26f0f4e0815fe,51
10e940311ed654f6,13
10e9725d4e2cd9f7,51
10e9e83c6c56dcaa,51
10ead8a498067966,13
10eb71ce135652c9,70
10ebedb1a4756622,51
10f411e87b7afc04,13
10f8d6932cdda703,51
10f9f6ea61c292ca,13
10faa9d4e7e14cb3,51
10fb08077706f5c3,13
10fbd53e248100b9,13
10fc2f111037514b,44
10fede70ff77e297,32
1101673c7726cf06,13
110220451b7c0100,51
1103c185f14d21d8,70
110bd778b4392a9d,51
110f08390c860e1a,51
110fb0b31f1d8c24,13
110fe08b1213baa5,13
1117f9f63117db86,29
111980554af57649,51
11201ec4c649844c,13
1127ad478ae8a97b,51
112986494dda8a7a,33
112ade298c279b53,13
112b5c5e6cf98b3c,13
112d7d29044d234f,51
112e0a43c96623d5,51
112f115154a0cf68,13
1132ece7c83a0a60,58
11331165a893d57e,13
